"","vendor","date","week","day","fuel","price","week_rank","origin"
"1176","TankOno",2020-06-06,"2020/w22","Saturday","DIESEL",19.75,"202022","webslurp"
"1175","TankOno",2020-06-06,"2020/w22","Saturday","NATURAL95",20.25,"202022","webslurp"
"1174","TankOno",2020-06-06,"2020/w22","Saturday","NATURAL98",22.23,"202022","webslurp"
"1173","AXIGON",2020-06-06,"2020/w22","Saturday","Diesel",20.82,"202022","webslurp"
"3","TankOno",2020-06-04,"2020/w22","Thursday","NATURAL98",21.9,"202022","webslurp"
"2","TankOno",2020-06-04,"2020/w22","Thursday","NATURAL95",19.75,"202022","webslurp"
"1","TankOno",2020-06-04,"2020/w22","Thursday","DIESEL",19.42,"202022","webslurp"
"4","AXIGON",2020-06-04,"2020/w22","Thursday","Diesel",20.82,"202022","webslurp"
"7","TankOno",2020-06-03,"2020/w22","Wednesday","DIESEL",19.42,"202022","webslurp"
"6","TankOno",2020-06-03,"2020/w22","Wednesday","NATURAL95",19.75,"202022","webslurp"
"5","TankOno",2020-06-03,"2020/w22","Wednesday","NATURAL98",21.9,"202022","webslurp"
"8","AXIGON",2020-06-03,"2020/w22","Wednesday","Diesel",20.82,"202022","webslurp"
"11","TankOno",2020-06-02,"2020/w22","Tuesday","NATURAL98",21.9,"202022","webslurp"
"10","TankOno",2020-06-02,"2020/w22","Tuesday","NATURAL95",19.75,"202022","webslurp"
"9","TankOno",2020-06-02,"2020/w22","Tuesday","DIESEL",19.42,"202022","webslurp"
"12","AXIGON",2020-06-02,"2020/w22","Tuesday","Diesel",20.82,"202022","webslurp"
"15","TankOno",2020-06-01,"2020/w22","Monday","DIESEL",19.42,"202021","webslurp"
"14","TankOno",2020-06-01,"2020/w22","Monday","NATURAL95",19.75,"202021","webslurp"
"13","TankOno",2020-06-01,"2020/w22","Monday","NATURAL98",21.9,"202021","webslurp"
"16","AXIGON",2020-06-01,"2020/w22","Monday","Diesel",20.82,"202021","webslurp"
"19","TankOno",2020-05-28,"2020/w21","Thursday","NATURAL98",21.9,"202021","webslurp"
"18","TankOno",2020-05-28,"2020/w21","Thursday","NATURAL95",19.75,"202021","webslurp"
"17","TankOno",2020-05-28,"2020/w21","Thursday","DIESEL",19.42,"202021","webslurp"
"20","AXIGON",2020-05-28,"2020/w21","Thursday","Diesel",20.82,"202021","webslurp"
"23","TankOno",2020-05-27,"2020/w21","Wednesday","DIESEL",19.42,"202021","webslurp"
"22","TankOno",2020-05-27,"2020/w21","Wednesday","NATURAL95",19.75,"202021","webslurp"
"21","TankOno",2020-05-27,"2020/w21","Wednesday","NATURAL98",21.9,"202021","webslurp"
"24","AXIGON",2020-05-27,"2020/w21","Wednesday","Diesel",20.82,"202021","webslurp"
"25","TwinTrans",2020-05-22,"2020/w20","Friday","JET",13,"202020","webslurp"
"28","TankOno",2020-05-22,"2020/w20","Friday","NATURAL98",21.4,"202020","webslurp"
"27","TankOno",2020-05-22,"2020/w20","Friday","NATURAL95",19.42,"202020","webslurp"
"26","TankOno",2020-05-22,"2020/w20","Friday","DIESEL",18.93,"202020","webslurp"
"29","AXIGON",2020-05-22,"2020/w20","Friday","Diesel",20.49,"202020","webslurp"
"30","TwinTrans",2020-05-21,"2020/w20","Thursday","JET",13,"202020","webslurp"
"33","TankOno",2020-05-21,"2020/w20","Thursday","DIESEL",18.93,"202020","webslurp"
